chr	start	end	color	colorcode
1	1	825000	yellow	1
1	825001	1350000	purple	2
1	1350001	1450000	yellow	1
1	1450001	3125000	purple	2
1	3125001	3150000	yellow	1
1	3150001	3550000	purple	2
1	3550001	3575000	yellow	1
1	3575001	5375000	purple	2
1	5375001	5400000	yellow	1
1	5400001	5475000	purple	2
1	5475001	6175000	yellow	1
1	6175001	6600000	purple	2
1	6600001	6700000	yellow	1
1	6700001	6900000	purple	2
1	6900001	7900000	yellow	1
1	7900001	8400000	purple	2
1	8400001	8425000	yellow	1
1	8425001	8950000	purple	2
1	8950001	9025000	yellow	1
1	9025001	10075000	purple	2
1	10075001	10100000	yellow	1
1	10100001	10550000	purple	2
1	10550001	10600000	yellow	1
1	10600001	10750000	purple	2
1	10750001	11775000	yellow	1
2	1	950000	yellow	1
2	950001	1025000	purple	2
2	1025001	1175000	yellow	1
2	1175001	2775000	purple	2
2	2775001	2950000	yellow	1
2	2950001	3250000	purple	2
2	3250001	3350000	yellow	1
2	3350001	3450000	purple	2
2	3450001	6700000	yellow	1
2	6700001	6800000	purple	2
2	6800001	6875000	yellow	1
2	6875001	7600000	purple	2
2	7600001	7625000	yellow	1
2	7625001	7800000	purple	2
2	7800001	7875000	yellow	1
2	7875001	8000000	purple	2
2	8000001	9000000	yellow	1
3	1	550000	yellow	1
3	550001	650000	purple	2
3	650001	675000	yellow	1
3	675001	3150000	purple	2
3	3150001	3175000	yellow	1
3	3175001	3275000	purple	2
3	3275001	3325000	yellow	1
3	3325001	3375000	purple	2
3	3375001	3650000	yellow	1
3	3650001	5350000	purple	2
3	5350001	5400000	yellow	1
3	5400001	6275000	purple	2
3	6275001	7800000	yellow	1
4	1	525000	yellow	1
4	525001	1600000	purple	2
4	1600001	1625000	yellow	1
4	1625001	2225000	purple	2
4	2225001	2275000	yellow	1
4	2275001	2725000	purple	2
4	2725001	2825000	yellow	1
4	2825001	3225000	purple	2
4	3225001	3275000	yellow	1
4	3275001	3775000	purple	2
4	3775001	4650000	yellow	1
4	4650001	5050000	purple	2
4	5050001	5100000	yellow	1
4	5100001	5800000	purple	2
4	5800001	5850000	yellow	1
4	5850001	6525000	purple	2
4	6525001	6900000	yellow	1
4	6900001	7125000	purple	2
4	7125001	8025000	yellow	1
4	8025001	9425000	purple	2
